LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | PG -> XO | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | XZ -> PT | PZ -> EG | LT -> EZ | XZ -> PT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | LT -> EZ | PG -> XO | XZ -> PT | LO -> XT | XZ -> PT | ET -> PO | PZ -> EG
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LT -> EZ | PG -> XO | XZ -> PT | LT -> EZ | XZ -> PT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LT -> EZ | LO -> XT | PZ -> EG | XZ -> PT | XZ -> PT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LT -> EZ | PZ -> EG | XZ -> PT | XZ -> PT | LO -> XT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | LT -> EZ | XZ -> PT | PZ -> EG | XZ -> PT | LO -> XT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | PZ -> EG | ET -> PO | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | LO -> XT | LT -> EZ | XZ -> PT | PG -> XO | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | PZ -> EG | LO -> XT | LT -> EZ | XZ -> PT | XZ -> PT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | ET -> PO | PZ -> EG | XZ -> PT | LT -> EZ | XZ -> PT | LO -> XT | PG -> XO | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | LO -> XT | XZ -> PT | ELPX -> GOTZ | LO -> XT | LT -> EZ | LT -> EZ | XZ -> PT | PG -> XO | XZ -> PT | PZ -> EG | ET -> PO | ET -> PO | LT -> EZ
