LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XG -> LZ | EO -> LG | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | XZ -> PT | ET -> PO | ELPX -> GOTZ | PZ -> EG | PZ -> EG
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XG -> LZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | LT -> EZ | XZ -> PT | XZ -> PT | PZ -> EG | XZ -> PT | PZ -> EG | EO -> LG | ET -> PO | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | EO -> LG | LT -> EZ | XG -> LZ | PZ -> EG | XZ -> PT | XZ -> PT | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | EO -> LG | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | XZ -> PT | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | EO -> LG | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | ET -> PO | XG -> LZ | PZ -> EG | LT -> EZ | PZ -> EG | XG -> LZ | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | EO -> LG | PZ -> EG | ET -> PO | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | EO -> LG | PZ -> EG | XZ -> PT | XG -> LZ | LT -> EZ | XZ -> PT | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | ET -> PO | PZ -> EG | PZ -> EG | XG -> LZ | XZ -> PT | XG -> LZ | XZ -> PT | EO -> LG | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | ET -> PO | PZ -> EG | XZ -> PT | XG -> LZ | PZ -> EG | XG -> LZ | XZ -> PT | EO -> LG | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | EO -> LG | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | ET -> PO | PZ -> EG | XZ -> PT | XG -> LZ | XZ -> PT | EO -> LG | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | XG -> LZ | XZ -> PT | XZ -> PT | XZ -> PT | ELPX -> GOTZ | PZ -> EG | LT -> EZ | EO -> LG | ET -> PO | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> LG | XZ -> PT | XZ -> PT | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | XZ -> PT | XG -> LZ | XZ -> PT | XZ -> PT | ELPX -> GOTZ | PZ -> EG | LT -> EZ | EO -> LG | ET -> PO | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | EO -> LG | XG -> LZ | PZ -> EG | LT -> EZ | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | LT -> EZ | XZ -> PT | XZ -> PT | XZ -> PT | ET -> PO | XG -> LZ | LT -> EZ | XZ -> PT | PZ -> EG | XG -> LZ | PZ -> EG | EO -> LG | ELPX -> GOTZ | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | PZ -> EG | XG -> LZ | XZ -> PT | ET -> PO | EO -> LG | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | PZ -> EG | LT -> EZ | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | LT -> EZ | ELPX -> GOTZ | XZ -> PT | PZ -> EG | XZ -> PT | EO -> LG | LT -> EZ | PZ -> EG | XG -> LZ | ET -> PO | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | LT -> EZ | EO -> LG | XZ -> PT | PZ -> EG | LT -> EZ | XZ -> PT | XG -> LZ | ET -> PO | ELPX -> GOTZ | PZ -> EG | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | LT -> EZ | ET -> PO | LT -> EZ | XZ -> PT | XZ -> PT | PZ -> EG | XG -> LZ | PZ -> EG | EO -> LG | ELPX -> GOTZ | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | ET -> PO | PZ -> EG | XG -> LZ | PZ -> EG | EO -> LG | ELPX -> GOTZ | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | ET -> PO | PZ -> EG | XG -> LZ | PZ -> EG | EO -> LG | ELPX -> GOTZ | LT -> EZ
LXXXXX x2 + G   =>  XG -> LZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XG -> LZ | XZ -> PT | PZ -> EG | ELPX -> GOTZ | LT -> EZ | XZ -> PT | XZ -> PT | EO -> LG | LT -> EZ | PZ -> EG | XG -> LZ | ET -> PO | LT -> EZ
