GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | EO -> GL | EO -> GL | XG -> LZ | XG -> LZ | PZ -> EG | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | EO -> GL | LO -> XT | PZ -> EG | PG -> XO | PG -> XO | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | PG -> XO | EO -> GL | PZ -> EG | PG -> XO | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | PG -> XO | PZ -> EG | EO -> GL | PG -> XO | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | XG -> LZ | EO -> GL | PZ -> EG | XG -> LZ | XG -> LZ | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PG -> XO | PZ -> EG | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | GOTZ -> ELPX | LT -> EZ | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | LT -> EZ | PG -> XO | EO -> GL | PG -> XO | EO -> GL | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | LO -> XT | PG -> XO | PG -> XO | PZ -> EG | GOTZ -> ELPX | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | PZ -> EG | PG -> XO | PG -> XO | LO -> XT | GOTZ -> ELPX | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | LT -> EZ | PG -> XO | PZ -> EG | XG -> LZ | PG -> XO | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | EO -> GL | LT -> EZ | LT -> EZ | PG -> XO | XG -> LZ | PG -> XO | PG -> XO | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  EO -> GL | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | PZ -> EG | EO -> GL | PG -> XO | LO -> XT | LT -> EZ | XG -> LZ | PG -> XO | PG -> XO | LO -> XT | GOTZ -> ELPX | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | PG -> XO | PG -> XO | EO -> GL | XG -> LZ | XG -> LZ | LO -> XT | LO -> XT | LT -> EZ | EO -> GL | LO -> XT | PZ -> EG | GOTZ -> ELPX | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | PG -> XO | PG -> XO | EO -> GL | LO -> XT | PG -> XO | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | LO -> XT | LT -> EZ | EO -> GL | LO -> XT | GOTZ -> ELPX | EO -> GL | PZ -> EG | XG -> LZ | XG -> LZ
GOP x4 + E  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | EO -> GL | PG -> XO | PZ -> EG | XG -> LZ | EO -> GL | LO -> XT | GOTZ -> ELPX | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | EO -> GL | LO -> XT | PZ -> EG | LO -> XT | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
